num_contours,avg_area,std_area,std_4nn,circle_similarity,avg_perimeter,std_perimeter,avg_compactness,std_compactness,avg_eccentricity,std_eccentricity,avg_solidity,std_solidity,avg_curvature,std_curvature,fft_2,fft_3,fft_4,fft_5,fft_6,fft_7,fft_8,fft_9,fft_10,offset_x_mean,offset_y_mean,offset_x_std,offset_y_std,var_radii,var_angle_gaps,centroid_hull_area,centroid_hull_perimeter,quad_1,quad_2,quad_3,quad_4,mean_1nn,avg_degree,avg_clustering,area_ratio,bbox_aspect,std_aspect,sym_horiz,sym_vert,fractal_dim,template_match_score,occupancy_error,assignment_cost,avg_diameter,std_diameter,avg_pairwise_diff,child_id,label
16,29.28125,18.16587525,20.82916815,0.366765972,34.58775681,20.2727045,0.395922035,0.184472968,0.451272693,0.163784894,0.688937852,0.206349375,2.701537402,0.507936104,0.28290772,0.074348256,0.061185114,0.055304628,0.037040696,0.034461662,0.029580709,0.024164274,0.02496702,6.720387535,-8.964717348,114.5656825,53.13478676,2145.519869,0.10973493,44268.55789,866.6490132,6,4,2,4,53.27821183,4.375,0.291666667,0.006618634,1.861538452,0.930685478,0.031086346,0.02559675,-2.084962501,-0.001418822,0.380952381,5.045041482,13.8709735,8.40586665,0.145828113,7532,1
81,97.7654321,226.5819025,10.55212538,0.364351325,97.63700954,137.6375102,0.139383875,0.178886706,0.451166986,0.283689272,0.365825606,0.306826072,2.722139445,0.533691836,0.49710548,0.23689263,0.14550516,0.09589459,0.07872505,0.057386562,0.04768872,0.03391153,0.029570226,3.514085976,-4.673632594,91.0261488,51.14758361,1808.110712,0.008702775,48707.63519,873.9551074,17,26,25,13,15.54989358,5.530864198,0.069135802,0.119209984,1.983606547,1.68048291,0.222997937,0.058270491,-1.739709906,0.043390468,0.095238095,60.02740842,26.10476951,41.02646266,0.450814784,7536,1
24,2218.958333,3865.501474,33.06751804,0.182329002,378.176013,660.9869856,0.495154152,0.311292572,0.729520423,0.162489651,0.751400861,0.281857863,2.735317321,0.446656083,1.4742731,0.88150185,0.46763787,0.37274542,0.29571006,0.21301045,0.17465799,0.18526252,0.16336763,30.48583581,20.04171,102.9929482,71.98573251,2229.595298,0.07441144,69554.06439,1002.802352,2,5,6,11,45.61821127,5,0.217391304,0.414429347,1.025423726,0.718204269,0.203995209,0.224724359,-1.816462724,0.086249515,0.476190476,3.093619328,76.1765856,93.48463942,7.600991726,7537,1
21,880.1428571,1345.930234,24.2846939,0.300054322,238.4190732,236.7994582,0.328447868,0.247574537,0.571182008,0.169764427,0.631552977,0.249439818,2.72237464,0.436764071,0.5642798,0.54869723,0.284292,0.21985045,0.15749033,0.20607294,0.13068992,0.11703578,0.10346241,-5.643492854,32.83814654,99.02676298,84.88362787,1882.370721,0.048265393,59755.8399,940.257844,5,2,7,7,42.29685472,4.761904762,0.238095238,0.158128433,0.887052339,0.39538011,0.053024176,0.164308968,-1.878651814,0.04315005,0.476190476,0.116197245,58.27943678,52.55865305,3.139080524,7538,2
27,19.92592593,8.871201538,22.36071787,0.234021029,20.05482329,6.761869345,0.641856628,0.135104371,0.573272472,0.226273723,0.905065026,0.08393454,2.617256997,0.61845495,0.35304272,1.4342462,0.29571748,0.2823177,0.25535586,0.4394872,0.24908589,0.25839198,0.25971213,25.55731033,-4.915955591,90.60866234,52.54357468,2062.153539,0.062291729,47780.11283,856.3626879,6,10,4,7,31.7642069,5.185185185,0.199430199,0.006443885,1.425619829,0.536861671,-0.005151401,0.019364487,-1.574378254,-0.011154838,0.380952381,6.058075569,7.776676112,2.957284375,0.096805565,7539,2
12,2732.833333,2020.194322,30.70748252,0.223773494,312.1321768,229.8401436,0.501812886,0.276955663,0.636564896,0.183447112,0.843784032,0.145318146,2.670279421,0.485164129,0.3727274,0.33163998,0.22702064,0.17635812,0.09387756,0.09666193,0.08292878,0.057691645,0.07453842,-21.61433851,-25.8973253,84.98562553,62.34933487,1589.168579,0.151971151,38370.77292,798.6266854,6,2,2,2,56.10067777,4.5,0.409090909,0.38558495,1.440329212,0.624525091,0.206742848,0.419485875,-1.851682314,0.09850351,0.571428571,9.042524734,77.22102087,48.23723254,9.157423019,7541,1
18,201.3055556,762.2106033,35.03147516,0.427465554,98.26831326,150.8226471,0.06040012,0.082031315,0.395991725,0.298001474,0.239618573,0.212923748,2.706433911,0.520386964,0.36506093,0.14208701,0.076931015,0.051916853,0.04682937,0.03302322,0.021669742,0.025096787,0.016873403,-32.38062261,13.28305473,116.125813,40.50125504,2983.753227,0.118155172,29170.71184,799.1889285,5,3,5,5,22.04185558,4.666666667,0.274509804,0.061617862,2.240740727,3.727348167,0.019294317,-0.005445046,-1.729125615,0.027240355,0.761904762,3.092725028,28.99899219,36.4227128,0.780229092,7542,1
19,868.6315789,615.6442676,22.4108179,0.218487656,162.9366967,98.65311456,0.496770317,0.244519251,0.659682112,0.15435189,0.815447859,0.164455307,2.667231687,0.483598282,0.76487386,0.37866312,0.27036753,0.23649912,0.1192673,0.10949403,0.069582,0.046486147,0.0816637,-11.75544337,-16.34541183,82.16691395,48.82876101,1735.648623,0.07506324,36131.81163,762.3430724,6,6,4,3,43.89381228,4.842105263,0.269005848,0.228252151,1.703883487,0.261785567,0.296644759,0.205053199,-1.7596651,0.1593926,0.285714286,2.043284249,44.54186793,20.5175381,3.002792597,7543,3
33,165.4090909,50.61597163,12.81323172,0.210489643,66.08174569,19.54238206,0.539120526,0.195252715,0.628776193,0.155284039,0.829032695,0.13567673,2.672955902,0.541374953,0.63803077,0.37135452,0.2144141,0.13423528,0.12924542,0.08606462,0.09596845,0.06755832,0.088974796,-4.440581474,-4.144959035,87.70045852,72.40479277,1903.301177,0.053903398,53122.08716,941.4235571,10,7,7,9,37.71624414,5.212121212,0.162878788,0.061087796,1.332046327,0.284868452,0.010997011,0.130428633,-1.660622205,0.052182063,0.238095238,12.03723681,21.21743406,4.359163928,0.627164781,7545,3
18,1527.694444,1606.568532,23.28444936,0.239280829,240.6080909,120.5190192,0.396041775,0.269229925,0.585059008,0.144186209,0.690293834,0.324866345,2.731516,0.439317397,0.64847636,0.45550898,0.2068351,0.14232193,0.09610829,0.047855332,0.04181809,0.038344897,0.036673795,25.2365099,-13.66289354,81.09572057,82.06072664,1805.647332,0.063416119,51197.87882,913.627757,3,8,4,3,57.3754537,5,0.294117647,0.250839217,1.201986751,0.643393546,0.207280022,0.161029342,-1.944373172,0.018642634,0.523809524,3.064179903,66.48059234,31.99214761,5.20678091,7546,1
7,4946,3501.777528,51.98560757,0.17832352,519.4730113,226.7236296,0.408220694,0.323764738,0.691448011,0.126878408,0.643532097,0.370365881,2.73285899,0.413397633,0.85317355,0.6084172,0.2809338,0.16468261,0.13822253,0.13210215,0.117664866,0.056190338,0.044648618,-21.61289821,-11.91297435,97.78027463,97.53247026,802.3668352,0.147717599,44782.8279,842.1273353,1,2,3,1,108.6427826,3.142857143,0.523809524,0.283861341,0.925619832,0.134067417,0.007547467,0.387688852,-1.780988828,0.028909063,0.904761905,14.06066755,122.4715233,31.35073885,16.48028755,7548,1
13,772.8076923,1442.40421,36.22093325,0.231849434,359.0851619,441.2035057,0.268181546,0.331282953,0.587207685,0.174559374,0.428370054,0.384864077,2.739346294,0.43135589,0.89554286,0.5889265,0.25218716,0.24485745,0.14475894,0.12607841,0.10086935,0.10511063,0.070734814,-14.5107092,-23.90654488,116.8534545,83.98007896,2140.393289,0.133321286,60414.13414,1000.074879,6,3,2,2,63.61789837,4.461538462,0.371794872,0.082369966,1.08035714,0.330316919,0.099977481,0.13327187,-1.765146508,0.039073654,0.619047619,8.056235316,67.31995753,57.30438508,2.963394642,7549,2
36,361.0277778,1243.287689,20.05424897,0.398412128,117.5669061,208.0144356,0.188706632,0.227549185,0.289824542,0.272728159,0.541933489,0.355980554,2.674262783,0.541773553,0.43903702,0.2735349,0.20083658,0.118738756,0.09145688,0.07387038,0.06254245,0.050061196,0.04603436,17.47929228,-9.050115647,96.24246413,45.08242658,1843.773961,0.031246982,40251.61259,846.3276277,9,11,7,9,21.99696228,5.277777778,0.150793651,0.163490446,1.657534239,1.886213037,0.010578537,0.097596543,-1.638480036,0.08518243,0.238095238,15.0386576,28.41531428,42.86688599,1.314489603,7550,1
40,18.7,11.28871118,16.94592084,0.270442042,20.47609295,9.581608953,0.593169062,0.156695349,0.53152038,0.179531108,0.865798302,0.136515575,2.576234361,0.59266552,0.35679233,0.48562106,0.19452968,0.14306265,0.1492984,0.17476323,0.11921666,0.11336912,0.11029675,3.567152316,4.569448804,84.82941168,37.20069957,2367.021824,0.02132699,34112.42616,807.922943,9,9,11,11,19.60645067,5.3,0.135897436,0.01537987,2.591240857,0.514614387,0.065708499,0.037897031,-1.267970001,0.020587936,0.380952381,19.05589659,7.707696441,3.505911519,0.092357814,7551,1
20,19.375,8.288357799,31.06642236,0.262776029,20.04472212,5.514734775,0.598595565,0.104778844,0.543858689,0.175009427,0.851095466,0.098779072,2.560858149,0.614058693,0.52398586,0.49017987,0.20092969,0.15559874,0.12538764,0.08470772,0.09938066,0.093010694,0.08208926,-45.62559288,30.14286246,90.30657835,81.23515142,2347.981848,0.083867322,56694.91813,962.4321111,3,3,11,3,53.88743061,4.7,0.247368421,0.004067089,1.278388274,0.399126646,-0.003713741,0.016631808,-1.953445298,-0.011150318,0.666666667,1.139292983,7.627188848,2.371917005,0.094349995,7552,1
33,51.96969697,22.39620483,15.96417203,0.224916358,33.81965971,10.81331094,0.577758107,0.094582131,0.581693159,0.176129803,0.849578501,0.067711468,2.628178374,0.631516615,0.58465004,0.25299358,0.36000842,0.2144017,0.19785336,0.15201904,0.12100227,0.106013454,0.059770364,-2.700180646,-2.217482625,91.05913242,76.45323122,1597.605199,0.021892899,58959.66491,939.8057732,7,8,9,9,37.86690269,5.212121212,0.162878788,0.021456543,1.289156621,0.353592418,0.065550592,0.02820818,-1.980630889,0.06522579,0.095238095,12.03151167,12.22706809,4.412312638,0.220420465,7553,2
16,333.28125,519.9063909,22.5339766,0.420556975,252.0538985,222.236817,0.050302384,0.032505967,0.360304878,0.195393336,0.262811998,0.178425719,2.694313853,0.495595507,0.48465845,0.33804646,0.15686975,0.12569094,0.12356373,0.0562694,0.07456967,0.053911917,0.03432738,-14.08852438,9.956222594,89.53105932,29.48463995,2323.997157,0.201128388,23265.44674,690.9395873,4,2,4,6,31.85586377,4.75,0.316666667,0.107226881,2.649635017,0.875451041,0.115003573,0.276099772,-2.052653506,0.07498988,0.523809524,5.067007818,57.7368686,41.10372859,1.413058519,7554,1
2,1729,1719,,0.30396053,1158.293499,1144.293499,0.324656834,0.31648452,0.390363632,0.062568197,0.5333124,0.4666876,2.582478834,0.509247307,0.2711436,0.41088384,0.10536087,0.16241446,0.057183992,0.07208195,0.039890207,0.037197083,0.029625768,8.323643411,9.588662791,13.82364341,6.588662791,111.951549,1.277382022,,,0,0,1,1,30.62702039,,,0.031020408,1.055384612,0.472307692,-0.000573187,0.01040453,-1.498770812,0.001336914,0.904761905,19.05314188,210.5031933,205.1180285,7.17028141,7556,1
